Name,Address,Latitude,Longitude
Công Ty Cổ Phần Ademax - Chi nhánh Hồ Chí Minh,"
51 Trương Quốc Dung, Phường 10, Phú Nhuận, Hồ Chí Minh, Vietnam",10.7679324,106.6196285
Yamazen Hochiminh Office,"
12 Tân Trào, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.7679324,106.6196285
Công ty TNHH MTV Môi trường Đô thị TP.HCM,"
42 Đ. Võ Thị Sáu, Phường Tân Định, Quận 1, Hồ Chí Minh, Vietnam",10.7679324,106.6196285
Công ty TNHH Dược Sĩ Tiến - Chi nhánh Hồ Chí Minh,"
32A Đ. Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh, Vietnam",10.7679324,106.6196285
Công Ty Trách Nhiệm Hữu Hạn Thương Mại Sài Gòn Mộc,"
34/2/7 Huỳnh Tấn Phát, khu phố 3, Quận 7, Hồ Chí Minh, Vietnam",10.7237201,106.6613732
công ty TNHH Di Dân và Du Học SA CHI Chi Nhánh Hồ Chí Minh,"
246 Nguyễn Tiểu La, Phường 8, Quận 10, Hồ Chí Minh, Vietnam",10.7651661,106.5942056
Chi Nhánh Công Ty Tnhh Minh Quang Tại Thành Phố Hồ Chí Minh,"
Số 46 Đ. D1, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh, Vietnam",10.7651661,106.5942056
CN CTY MINH KHAI HP,"
Khu Do thi moi, 17 Đường số 4, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh 756922, Vietnam",10.7651661,106.5942056
Công ty Công nghệ Thông tin Điện lực TPHCM,"
114A Đ. Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.7651661,106.5942056
Chi nhánh Công ty MIDC HCM,"
23346 Man Thiện, Phường Tân Phú, Thủ Đức, Hồ Chí Minh, Vietnam",10.8477036,106.7269005
LTS LAW FIRM,"
520 Đ. Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh 70000, Vietnam",10.785529,106.5955432
LTS LAW FIRM,"
520 Đ. Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh 70000, Vietnam",10.785529,106.5955432
Chi nhánh HCM- CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ PHÂN PHỐI DNG,"
Tòa nhà Thịnh Phát, 88 Đ. Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.785529,106.5955432
"FIDES GLOBAL CO.,LTD","
05 O Stret, My Giang 2, Phu My Hung, Quận 7, Hồ Chí Minh 72915, Vietnam",10.7227563,106.6435177
CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN DI CHUYỂN XANH VÀ THÔNG MINH GSM,"
119 Đ. Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh, Vietnam",10.807064,106.6459802
Công ty cổ phần công trình Nhà Việt Hồ Chí Minh,"
Số 46 đường Hưng Gia 2, Tân Phong, Quận 7, Hồ Chí Minh 700000, Vietnam",10.7324939,106.6347551
Trung tâm Phụ Vụ Khách hàng - Công ty TNHH Phát Triển Phú Mỹ Hưng,"
36 P street The Panorama, Tân Phong, Quận 7, Hồ Chí Minh, Vietnam",10.7324939,106.6347551
Chi Nhánh Công Ty Tnhh Hệ Thống Mới Việt Nam Tại Thành Phố Hồ Chí Minh,"
18B Đ.Nam Quốc Cang, P, Quận 1, Hồ Chí Minh 700000, Vietnam",10.7324939,106.6347551
CTy,"
71 Đường Số 2, Phường 16, Quận 8, Hồ Chí Minh, Vietnam",10.7119962,106.5485935
Showroom INOAC Living Ho Chi Minh,"
Toà nhà The Grace, 71 Hoàng Văn Thái, P. Phú Thuận, Quận 7, Hồ Chí Minh 10000, Vietnam",10.7308299,106.651608
